year,female_pct,male_pct
1992,0.0,100.0
1993,0.0,100.0
1994,0.0,100.0
1995,0.0,100.0
1996,0.0,100.0
1997,6.7,93.3
1998,12.5,87.5
1999,14.3,85.7
2000,5.6,94.4
2001,4.5,95.5
2002,7.1,92.9
2003,8.3,91.7
2004,3.4,96.6
2005,9.4,90.6
2006,7.7,92.3
2007,14.3,85.7
2008,21.2,78.8
2009,26.5,73.5
2010,19.4,80.6
2011,18.9,81.1
2012,12.8,87.2
2013,14.6,85.4
2014,20.5,79.5
2015,20.0,80.0
2016,26.2,73.8
2017,32.5,67.5
2018,38.9,61.1
2019,35.6,64.4
2020,36.4,63.6
2021,37.3,62.7
2022,36.2,63.8
2023,28.6,71.4
