country,duty_station,name,position,hat3,gender,nationality,weog,agency,eod,eoa
Afghanistan,Kabul,Indrika Ratwatte,DSRSG/RC/HC,,,,,,,
Burkina Faso,Ouagadougou,Maurice Azonnankpo,RC/HC OiC,,,,,,,
Cameroon,Yaoundé,Issa Sanogo,RC/HC,,,,,,,
Central African Republic,Bangui,Mohamed Ag Ayoya,DSRSG/RC/HC,,,,,,,
Chad,N'Djamena,François Batalingaya,RC/HC,,,,,,,
Colombia,Bogota,Mireia Villar Forner,RC/HC,,,,,,,
Democratic Republic of the Congo,Kinshasa,Bruno Lemarquis,DSRSG/RC/HC,,,,,,,
Eritrea,Asmara,Nahla Valji,RC/HC,,,,,,,
Ethiopia,Addis Ababa,Aboubacar Kampo,RC/HC OiC,,,,,,,
Haiti,Port-au-Prince,Nicole Kouassi,DSRSG/RC/HC,,,,,,,
Iraq,Baghdad,Ghulam Isaczai,DSRSG/RC/HC,,,,,,,
Lebanon,Beirut,Imran Riza,DSC/RC/HC,,,,,,,
Mali,Bamako,Hanaa Singer,RC/HC,,,,,,,
Mozambique,Maputo,Catherine Sozi,RC/HC,,,,,,,
Myanmar,Yangon,Gwyn Lewis,RC/HC a.i.,,,,,,,
Niger,Niamey,Mama Keita,RC/HC,,,,,,,
Nigeria,Abuja,Mohamed Fall,RC/HC,,,,,,,
OPT,Jerusalem,Ramiz Alakbarov,DSC/RC/HC,,,,,,,
Pakistan,Islamabad,Mohamed Yahya,RC/HC,,,,,,,
Somalia,Mogadishu,George Conway,DSRSG/RC/HC,,,,,,,
South Sudan,Juba,Anita Kiki Gbeho,DSRSG/RC/HC,,,,,,,
Sudan,Port Sudan,Denise Brown,RC/HC,,,,,,,
Syrian Arab Republic,Damascus,Nathalie Fustier,RC/HC a.i.,,,,,,,
Ukraine,Kyiv,Matthias Schmale,RC/HC,,,,,,,
Venezuela,Caracas,Gianluca Rampolla del Tindaro,RC/HC,,,,,,,
Yemen,Sana'a,Julien Harneis,RC/HC,,,,,,,
Zimbabwe,Harare,Edward Kallon,RC/HC,,,,,,,
OPT,Gaza,Suzanna Tkalec,Deputy HC,,,,,,,
Sudan Crisis,Tawila,Rosaria Bruno,Deputy HC,,,,,,,
