year,africa_pct,apac_pct,eeur_pct,lac_pct,weog_pct
1992,0.0,0.0,0.0,0.0,100.0
1993,16.7,0.0,0.0,16.7,66.7
1994,20.0,0.0,0.0,0.0,80.0
1995,25.0,25.0,0.0,0.0,50.0
1996,8.3,16.7,0.0,8.3,66.7
1997,13.3,13.3,0.0,0.0,73.3
1998,6.2,12.5,0.0,0.0,81.2
1999,21.4,14.3,0.0,0.0,64.3
2000,27.8,5.6,0.0,5.6,61.1
2001,27.3,4.5,0.0,0.0,68.2
2002,25.0,7.1,0.0,0.0,67.9
2003,33.3,4.2,0.0,0.0,62.5
2004,37.9,10.3,0.0,0.0,51.7
2005,40.6,6.2,0.0,6.2,46.9
2006,30.8,7.7,0.0,2.6,59.0
2007,28.6,5.7,0.0,0.0,65.7
2008,36.4,9.1,0.0,0.0,54.5
2009,35.3,8.8,0.0,0.0,55.9
2010,41.7,5.6,0.0,0.0,52.8
2011,37.8,8.1,2.7,2.7,48.6
2012,43.6,5.1,0.0,5.1,46.2
2013,41.5,4.9,0.0,4.9,48.8
2014,43.6,5.1,0.0,7.7,43.6
2015,35.6,8.9,0.0,4.4,51.1
2016,33.3,7.1,0.0,2.4,57.1
2017,35.0,5.0,0.0,0.0,60.0
2018,30.6,11.1,0.0,0.0,58.3
2019,26.7,8.9,0.0,0.0,64.4
2020,34.1,6.8,2.3,2.3,54.5
2021,37.3,3.9,3.9,2.0,52.9
2022,31.9,6.4,4.3,2.1,55.3
2023,32.7,6.1,4.1,2.0,55.1
2024,40.0,7.5,5.0,2.5,45.0
